領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
社會,公民與社會,0401,社會科學概論 Introduction to Social Science,3,2234,,Y206,沈玄池,通識中心,55,53,2,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0402,性別·社會·個人 Gender-Society-Individual,2,334,,*,蔡素琴,通識中心,48,0,48,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0403,性別·社會·個人 Gender-Society-Individual,2,234,,Y204,關永馨,通識中心,60,57,3,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0404,愛情與政治 Love and Politics,2,278,,SC111,譚偉恩,通識中心,150,145,5,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 本課程不開放特殊情形權限加選
社會,法律與政治,0408,法學緒論 Introduction to Legal Studies,2,356,,Y302,紀和均,通識中心,50,51,0,中文,本課程不開放特殊情形權限加選
社會,法律與政治,0409,法學緒論 Introduction to Legal Studies,2,434,,Y207,黃馨慧,通識中心,50,49,1,中文,
社會,法律與政治,0410,民主與憲政 Democracy and Constitutionalism,2,212,,Y304,翟挹,通識中心,70,67,3,中文,
社會,法律與政治,0411,民主與憲政 Democracy and Constitutionalism,2,378,,SC111,潘競恒,通識中心,70,61,9,中文,
社會,法律與政治,0412,國家發展 National Development Study,2,234,,Y410,劉泰廷,通識中心,60,29,31,中文,
社會,法律與政治,0413,國家發展 National Development Study,2,356,,SC111,譚偉恩,通識中心,150,146,4,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 本課程不開放特殊情形權限加選
社會,法律與政治,0414,政治學 Political Science,3,4567,,Y208,黃馨慧,通識中心,50,39,11,中文,
社會,法律與政治,0415,全球公民投票制度 Referendum,2,512,,Y208,李昌麟,通識中心,70,35,35,中文,
社會,法律與政治,0416,全球公民投票制度 Referendum,2,534,,Y208,李昌麟,通識中心,70,26,44,中文,
社會,法律與政治,0417,全球公民投票制度 Referendum,2,556,,Y208,李昌麟,通識中心,70,54,16,中文,
社會,法律與政治,0418,科技與法律 Science and Technology Laws,2,478,,Y206,廖緯民,通識中心,50,40,10,中文,
社會,法律與政治,0419,流行文化與國際關係 Popular Culture and International Relations,2,534,,SC202,楊三億,通識中心,70,67,3,中文,
社會,法律與政治,0421,電影與國際關係 Films and International Relations,2,178,,Y402,劉泰廷,通識中心,60,61,0,中文,
社會,法律與政治,0422,電影與國際關係 Films and International Relations,2,378,,Y402,劉泰廷,通識中心,60,42,18,英文,英語授課
社會,法律與政治,0423,國防教育：全民國防 National Defense Education: All-out Defense,2,356,,Y401,陳秀年,通識中心,60,74,0,中文,國防教育只採計一門為通識學分
社會,法律與政治,0424,國防教育：全民國防 National Defense Education: All-out Defense,2,378,,Y401,陳秀年,通識中心,60,76,0,中文,國防教育只採計一門為通識學分
社會,法律與政治,0425,國防教育：國防政策 National Defense Education: National Defense Policies,2,156,,Y304,舒博智,通識中心,55,74,0,中文,國防教育只採計一門為通識學分
社會,法律與政治,0426,國防教育：國防政策 National Defense Education: National Defense Policies,2,178,,Y304,舒博智,通識中心,55,73,0,中文,國防教育只採計一門為通識學分
社會,法律與政治,0427,國防教育：國防科技 National Defense Education: National Defense Science and Technology,2,534,,Y401,何信標,通識中心,65,66,0,中文,國防教育只採計一門為通識學分
社會,法律與政治,0428,國防教育：國防科技 National Defense Education: National Defense Science and Technology,2,578,,Y401,何信標,通識中心,65,70,0,中文,國防教育只採計一門為通識學分
社會,法律與政治,0429,國防教育：國際情勢 National Defense Education: International Situations,2,478,,Y104,于力真等,通識中心,100,120,0,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 國防教育只採計一門為通識學分
社會,法律與政治,0430,日本與亞太區域發展 The Development of Asia-Pacific Region and Japan,3,2567,,SC112,廖舜右,通識中心,120,81,39,中文,
社會,法律與政治,0431,性別與法律 Gender and Law,2,456,,Y302,紀和均,通識中心,50,48,2,中文,本課程不開放特殊情形權限加選
社會,法律與政治,0432,智慧財產權法概論 General Introduction on Intellectual Property,2,523,,Y104,戴志傑,通識中心,120,54,66,中文,新開設遠距課程，同步遠距教學
社會,法律與政治,0433,智慧財產權法概論 General Introduction on Intellectual Property,2,256,,Y304,蘇宜成,通識中心,50,41,9,中文,
社會,商業與管理,0437,會計學概要 Introduction to Accounting,3,2234,,Y309,陳雪如,通識中心,50,50,0,中文,
社會,商業與管理,0438,論投資 Topics on Investment,2,234,,Y207,林盈課,通識中心,60,58,2,中文,
社會,商業與管理,0439,財務報表分析概論 Introduction to Financial Statement Analysis,2,534,,L216,徐川皓,通識中心,50,42,8,中文,限修人數50人
社會,心理與教育,0442,心理學 Psychology,3,1678,,Y204,關永馨,通識中心,60,57,3,中文,本課程不開放特殊情形權限加選
社會,心理與教育,0443,心理學 Psychology,3,2678,,Y204,關永馨,通識中心,60,47,13,中文,本課程不開放特殊情形權限加選
