選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,SC549,林建良,通識中心,45,45,中文,上課時間：01-09週(園藝系) ，本課程不開放特殊情形權限加選
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC549,林建良,通識中心,25,25,中文,上課時間：01-09週(動科系)
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,01-09週,L216,林建良,通識中心,49,50,中文,上課時間：01-09週(生科系A班)，本課程不開放特殊情形權限加選
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,01-09週,L216,林建良,通識中心,25,24,中文,上課時間：01-09週(中文系)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,CC215,林建良,通識中心,25,24,中文,上課時間：01-09週(土環系)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,01-09週,S821,林建良,通識中心,30,30,中文,上課時間：01-09週(水保系)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,434,01-09週,S821,林建良,通識中心,50,50,中文,上課時間：01-09週(植病系)，本課程不開放特殊情形權限加選
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,01-09週,EE401,謝育龍,通識中心,40,35,中文,上課時間：01-09週(物理系A班)
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,EE401,謝育龍,通識中心,28,28,中文,上課時間：01-09週(應經系)
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,謝育龍,通識中心,50,41,中文,上課時間：01-09週(獸醫系A班)
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,SC549,林建良,通識中心,45,32,中文,上課時間：10-18週(景觀學程&台文學士)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC549,林建良,通識中心,45,32,中文,上課時間：10-18週(動科系)
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,10-18週,L216,林建良,通識中心,48,47,中文,上課時間：10-18週(生科系B班) ，本課程不開放特殊情形權限加選
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,10-18週,L216,林建良,通識中心,40,26,中文,上課時間：10-18週(中文系)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,CC215,林建良,通識中心,40,22,中文,上課時間：10-18週(土環系)
0616,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,10-18週,S821,林建良,通識中心,50,31,中文,上課時間：10-18週(水保系)
0617,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,434,10-18週,S821,林建良,通識中心,50,42,中文,上課時間：10-18週(會計系)
0618,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,10-18週,EE401,謝育龍,通識中心,40,29,中文,上課時間：10-18週(物理系B班)
0619,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,10-18週,EE401,謝育龍,通識中心,40,29,中文,上課時間：10-18週(應經系)
0620,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,S821,謝育龍,通識中心,50,33,中文,上課時間：10-18週(獸醫系B班)
