領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y203,蔡妙真,通識中心,50,47,3,中文,
人文,文學,0302,文學探索 Exploring Literature,2,478,,Y308,蔡林縉,通識中心,31,27,4,中文,
人文,文學,0303,寓言文學欣賞 Readings of Fables Literature,2,278,,Y202,林淑貞,通識中心,50,45,5,中文,
人文,文學,0304,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,42,39,3,中文,
人文,歷史,0307,中國歷史與民間傳說 Chinese History and Tales,2,178,,Y104,吳政憲,通識中心,121,118,3,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課
人文,歷史,0308,近百年臺灣發展與變遷 Modern Taiwan History,2,434,,Y305,陳慧先,通識中心,50,48,2,中文,
人文,歷史,0309,近百年臺灣發展與變遷 Modern Taiwan History,2,478,,Y305,陳慧先,通識中心,50,47,3,中文,
人文,歷史,0310,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y104,黃純怡,通識中心,90,89,1,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課
人文,歷史,0311,現代世界的形成 The Formation of Modern World,2,412,,Y307,江彥賢,通識中心,60,56,4,中文,
人文,歷史,0312,現代世界的形成 The Formation of Modern World,2,434,,Y307,江彥賢,通識中心,60,59,1,中文,
人文,歷史,0313,現代商業史 A History of Modern Business,2,189,,Y202,林志龍,通識中心,60,63,0,中文,
人文,歷史,0314,現代商業史 A History of Modern Business,2,212,,Y409,林志龍,通識中心,60,69,0,中文,
人文,歷史,0315,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y303,李毓嵐,通識中心,50,49,1,中文,
人文,歷史,0316,臺灣歷史導論 Introduction to History of Taiwan,2,312,,Y305,賴郁君,通識中心,50,48,2,中文,
人文,歷史,0317,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y305,賴郁君,通識中心,50,47,3,中文,
人文,歷史,0318,電影中的西洋古典史 Classical History in Films,2,134,,Y104,范姜士璁,通識中心,100,89,11,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課
人文,歷史,0319,歷史與人生 History and Human Life,2,356,,Y403,林益德,通識中心,60,67,0,中文,
人文,歷史,0320,西方健康文化史 Western Cultural History of Health,2,267,,*,陳樂元,通識中心,50,0,50,中文,
人文,歷史,0321,西方健康文化史 Western Cultural History of Health,2,289,,Y302,陳樂元,通識中心,50,33,17,中文,
人文,歷史,0322,電影中的西洋古典史 Classical History in Films,2,356,,Y104,范姜士璁,通識中心,100,93,7,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課
人文,哲學,0325,生命教育 Life Education,2,334,,Y208,賴淑蘭,通識中心,40,26,14,中文,本課程建議學士班學生修習且不開放特殊情形權限加選
人文,哲學,0326,生命教育 Life Education,2,356,,Y208,賴淑蘭,通識中心,40,35,5,中文,本課程建議學士班學生修習且不開放特殊情形權限加選
人文,哲學,0327,生命教育 Life Education,2,178,,Y313,鍾燕宜,通識中心,60,22,38,中文,
人文,哲學,0328,生死學 Life and Death Studies,2,212,,Y308,楊謦綺,通識中心,60,46,14,中文,
人文,哲學,0329,生死學 Life and Death Studies,2,412,,Y308,楊謦綺,通識中心,60,53,7,中文,
人文,哲學,0330,哲學概論 Introduction to Philosophy,2,256,,Y212,張盈馨,通識中心,60,72,0,中文,
人文,哲學,0331,哲學概論 Introduction to Philosophy,2,156,,Y202,程諾蘭,通識中心,50,42,8,中文,
人文,哲學,0332,中醫哲學 Philosophy of Chinese Medicine,2,478,,Y401,翁碩駿等,通識中心,50,27,23,中文,本課程不開放特殊情形權限加選
人文,藝術,0335,古典音樂賞析 Classical Music Appreciation,2,156,,Y112,李美賢,通識中心,110,109,1,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課
人文,藝術,0336,古典音樂賞析 Classical Music Appreciation,2,178,,Y112,李美賢,通識中心,110,107,3,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課
人文,藝術,0337,古典音樂賞析 Classical Music Appreciation,2,512,,Y112,陳欣宜,通識中心,110,108,2,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 本課程不開放特殊情形權限加選
人文,藝術,0338,古典音樂賞析 Classical Music Appreciation,2,534,,Y112,陳欣宜,通識中心,110,109,1,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 本課程不開放特殊情形權限加選
人文,藝術,0339,古典音樂賞析 Classical Music Appreciation,2,312,,Y112,陳彥蓉,通識中心,110,112,0,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 本課程不開放特殊情形權限加選
人文,藝術,0340,古典音樂賞析 Classical Music Appreciation,2,334,,Y112,陳彥蓉,通識中心,110,108,2,中文,該課程因應疫情，為落實防疫措施而採線上教學方式授課; 本課程不開放特殊情形權限加選
人文,藝術,0341,電影美學 Cinematic Aesthetics,2,256,,Y301,何智勇,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0342,電影美學 Cinematic Aesthetics,2,156,,A712,廖瑩芝,通識中心,36,28,8,英文,英語授課
