領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0302,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y203,蔡妙真,通識中心,50,38,12,中文,
人文,文學,0303,閱讀臺灣 Reading Taiwan: Modern Taiwan through Literature and Film,2,156,,Y312,蔡林縉,通識中心,31,14,17,英文,英語授課
人文,文學,0304,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,42,41,1,中文,
人文,文學,0305,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,478,,Y303,詹閔旭,通識中心,60,56,4,中文,
人文,文學,0306,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,434,,Y303,詹閔旭,通識中心,31,34,0,中文,
人文,文學,0307,文學探索 Exploring Literature,2,378,,Y312,蔡林縉,通識中心,31,31,0,中文,
人文,歷史,0310,近百年臺灣發展與變遷 Modern Taiwan History,2,534,,Y202,陳慧先,通識中心,50,50,0,中文,
人文,歷史,0311,近百年臺灣發展與變遷 Modern Taiwan History,2,556,,Y202,陳慧先,通識中心,50,55,0,中文,
人文,歷史,0312,中國歷史與民間傳說 Chinese History and Tales,2,378,,Y206,黃純怡,通識中心,50,48,2,中文,
人文,歷史,0313,中國歷史與民間傳說 Chinese History and Tales,2,434,,Y207,黃純怡,通識中心,50,48,2,中文,
人文,歷史,0314,現代世界的形成 The Formation of Modern World,2,412,,Y307,江彥賢,通識中心,60,51,9,中文,
人文,歷史,0315,現代世界的形成 The Formation of Modern World,2,434,,Y307,江彥賢,通識中心,60,41,19,中文,
人文,歷史,0316,現代商業史 A History of Modern Business,2,156,,Y403,林志龍,通識中心,60,70,0,中文,
人文,歷史,0317,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,50,50,0,中文,
人文,歷史,0318,電影中的西洋古典史 Classical History in Films,2,134,,Y104,范姜士璁,通識中心,100,96,4,中文,
