領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y202,蔡妙真,通識中心,50,50,0,中文,
人文,文學,0302,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,50,47,3,中文,
人文,文學,0303,旅行文學 Travel Literature,2,478,,A421,高嘉勵,通識中心,50,24,26,中文,
人文,文學,0304,旅行文學 Travel Literature,2,456,,A421,高嘉勵,通識中心,50,31,19,中文,
人文,文學,0305,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,134,,Y303,詹閔旭,通識中心,60,67,0,中文,
人文,文學,0306,大眾小說在臺灣 Popular Fiction in Taiwan,2,367,,Y204,陳國偉,通識中心,50,44,6,中文,
人文,文學,0307,閱讀臺灣 Reading Taiwan: Modern Taiwan through Literature and Film,2,334,,A318,施開揚,通識中心,60,28,32,英文,英語授課
人文,歷史,0311,中國歷史與民間傳說 Chinese History and Tales,2,434,,Y206,黃純怡,通識中心,50,48,2,中文,
人文,歷史,0312,中國歷史與民間傳說 Chinese History and Tales,2,256,,Y206,黃純怡,通識中心,50,49,1,中文,
人文,歷史,0313,中國歷史與民間傳說 Chinese History and Tales,2,456,,Y302,黃純怡,通識中心,50,54,0,中文,
人文,歷史,0314,現代商業史 A History of Modern Business,2,189,,Y313,林志龍,通識中心,60,59,1,中文,
人文,歷史,0315,現代商業史 A History of Modern Business,2,212,,A311-1,林志龍,通識中心,60,58,2,中文,
人文,歷史,0316,現代商業史 A History of Modern Business,2,289,,Y212,林志龍,通識中心,60,57,3,中文,
人文,歷史,0317,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,70,69,1,中文,
人文,歷史,0318,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y304,李毓嵐,通識中心,70,68,2,中文,
