領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
社會,公民與社會,0401,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,134,,Y211,張淑君,通識中心,35,33,2,中文,
社會,公民與社會,0402,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,156,,Y211,張淑君,通識中心,35,32,3,中文,
社會,心理與教育,0403,教育與終身學習 Education and Life-Long Learning,2,256,,Y109,陳姿伶,通識中心,40,41,0,中文,
社會,公民與社會,0404,政治社會哲學 Political-Social Philosophy,2,156,,Y212,顧毓民,通識中心,70,37,33,中文,
社會,公民與社會,0405,政治社會哲學 Political-Social Philosophy,2,556,,Y212,顧毓民,通識中心,70,53,17,中文,
社會,公民與社會,0406,政治社會哲學 Political-Social Philosophy,2,334,,Y212,顧毓民,通識中心,70,0,70,中文,
社會,公民與社會,0407,食物與政治 Food and Politics,2,256,,SC111,譚偉恩,通識中心,130,144,0,中文,
社會,公民與社會,0408,社會學 Sociology,3,2567,,Y307,劉子彰,通識中心,60,25,35,中文,
社會,公民與社會,0409,社會學 Sociology,3,2234,,Y308,陳迪暉,通識中心,70,70,0,中文,
社會,公民與社會,0410,中國經濟社會發展與轉型 Social-Economic Development and Transformation in China,2,534,,Y301,陳迪暉,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0411,服務學習：中小學課業輔導 Service Learning: Primary and Junior High School Tutoring,2,278,,Y312,楊琇玲,通識中心,31,32,0,中文,本學期第5~17週需使用課堂時間至信義國小服務/本課程不開放特殊情形權限加選
社會,公民與社會,0412,資訊科技與社會 Information Technology and Society,2,334,,Y409,洪朝貴,通識中心,60,64,0,中文,
社會,公民與社會,0413,社會科學概論 Introduction to Social Science,3,2234,,SC202,沈玄池,通識中心,70,68,2,中文,
社會,公民與社會,0414,新興科技與倫理 Ethics and Emerging Technology,2,312,,Y104,吳政憲,通識中心,120,117,3,中文,
社會,公民與社會,0415,新興科技與倫理 Ethics and Emerging Technology,2,334,,Y104,吳政憲,通識中心,120,120,0,中文,
社會,公民與社會,0416,動物福祉 Animal Welfare,2,556,,QB101,林荀龍,通識中心,31,29,2,中文,須於週五下午1點~5點至動物收容中心服務，建議下午未排課的非獸醫系同學選修
社會,公民與社會,0417,動物福祉 Animal Welfare,2,156,,I407,林怡君,通識中心,80,69,11,中文,
社會,公民與社會,0418,資訊科技與社會 Information Technology and Society,2,134,,Y309,林建良,通識中心,50,47,3,中文,
