選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,234,10-18週,S821,謝育龍,通識中心,56,43,中文,上課時間：10-18週(農藝系)
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,112,01-09週,LI412,謝育龍,通識中心,50,40,中文,上課時間：1-9週(法律系)
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,234,01-09週,S821,謝育龍,通識中心,56,48,中文,上課時間：01-09週(昆蟲系)
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,389,01-09週,U701,林建良,通識中心,39,30,中文,上課時間：01-09週(生技學程)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC553,陳宏賓,通識中心,45,42,中文,上課時間：01-09週(材料系)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC553,陳宏賓,通識中心,53,46,中文,上課時間：10-18週(環工系)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,01-09週,U702,林建良,通識中心,38,30,中文,上課時間：01-09週(森林系林學組)
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,10-18週,U702,林建良,通識中心,35,34,中文,上課時間：10-18週(森林系木材科學組)
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,456,01-09週,A205,林建良,通識中心,40,34,中文,上課時間：01-09週(中文系)，僅限文學院學生選修，加選請洽通識中心。
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,456,10-18週,A205,林建良,通識中心,40,13,中文,上課時間：10-18週(中文系)，僅限文學院學生選修，加選請洽通識中心。
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,林建良,通識中心,56,49,中文,上課時間：01-09週(化學系)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,S821,林建良,通識中心,60,55,中文,上課時間：10-18週(企管系)
