領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,50,47,3,中文,
人文,文學,0302,文學探索 Exploring Literature,2,256,,Y204,余佳韻,通識中心,40,32,8,中文,
人文,文學,0303,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,478,,Y303,詹閔旭,通識中心,60,59,1,中文,
人文,文學,0304,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y202,蔡妙真,通識中心,50,42,8,中文,
人文,文學,0305,多元文化與英語文學 Multiculturalism and Literature in English,2,134,,Y212,吳佩如,通識中心,50,23,27,中文,
人文,文學,0306,旅行：文學與影像 Travel : Literature and Visual Arts,2,*,,*,李超雄,通識中心,30,20,10,中文,線上課程，開課細節另行通知
人文,歷史,0307,中國歷史與民間傳說 Chinese History and Tales,2,434,,Y204,黃純怡,通識中心,50,0,50,中文,
人文,歷史,0308,"臺日韓當代發展 Contemporary Development in Taiwan, Japan and Korea",2,156,,Y202,劉泰廷,通識中心,50,38,12,英文,英語授課
人文,歷史,0309,"臺日韓當代發展 Contemporary Development in Taiwan, Japan and Korea",2,234,,Y204,劉泰廷,通識中心,50,42,8,中文,
人文,歷史,0310,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,70,70,0,中文,新開設遠距教學
人文,歷史,0311,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y304,李毓嵐,通識中心,70,65,5,中文,新開設遠距教學
人文,歷史,0312,近百年臺灣發展與變遷 Modern Taiwan History,2,534,,Y402,陳慧先,通識中心,50,48,2,中文,
人文,歷史,0313,近百年臺灣發展與變遷 Modern Taiwan History,2,556,,Y402,陳慧先,通識中心,50,45,5,中文,
人文,歷史,0314,中國歷史與民間傳說 Chinese History and Tales,2,234,,Y206,黃純怡,通識中心,50,47,3,中文,
人文,歷史,0315,中國歷史與民間傳說 Chinese History and Tales,2,356,,Y204,黃純怡,通識中心,50,61,0,中文,
人文,歷史,0316,中國歷史與民間傳說 Chinese History and Tales,2,434,,Y204,黃純怡,通識中心,50,49,1,中文,
人文,歷史,0317,看得見的中國史 A Visible History of China,2,434,,A204-2,游逸飛,通識中心,50,0,50,中文,(未成班)
人文,歷史,0318,現代世界的形成 The Formation of Modern World,2,412,,Y307,江彥賢,通識中心,60,58,2,中文,
人文,歷史,0319,現代世界的形成 The Formation of Modern World,2,434,,Y307,江彥賢,通識中心,60,62,0,中文,
人文,歷史,0320,現代世界的形成 The Formation of Modern World,2,167,,Y402,林志龍,通識中心,60,55,5,中文,
人文,歷史,0321,現代世界的形成 The Formation of Modern World,2,234,,Y409,林志龍,通識中心,60,51,9,中文,
人文,歷史,0322,現代商業史 A History of Modern Business,2,212,,Y409,林志龍,通識中心,60,57,3,中文,
人文,歷史,0323,現代商業史 A History of Modern Business,2,189,,Y402,林志龍,通識中心,60,63,0,中文,
人文,歷史,0324,歷史與人生 History and Human Life,2,356,,Y401,林益德,通識中心,60,69,0,中文,新開設遠距教學
人文,歷史,0325,電影中的西洋古典史 Classical History in Films,2,134,,Y104,范姜士璁,通識中心,100,86,14,中文,新開設遠距教學
人文,歷史,0326,電影中的西洋古典史 Classical History in Films,2,356,,Y104,范姜士璁,通識中心,100,96,4,中文,新開設遠距教學
人文,歷史,0327,中國現代史 Contemporary Chinese History,2,178,,Y313,游博清,通識中心,50,51,0,中文,
人文,歷史,0328,美國族群史 Ethnic American History,2,234,,Y207,陳靜瑜,通識中心,50,49,1,中文,
人文,歷史,0329,西方健康文化史 Western Cultural History of Health,2,189,,Y203,陳樂元,通識中心,50,49,1,中文,
人文,哲學,0333,倫理學與當代議題 Ethics and Contemporary Issues,2,212,,Y403,翟挹,通識中心,70,68,2,中文,
人文,哲學,0334,美學 Aesthetics,2,234,,Y308,張盈馨,通識中心,60,65,0,中文,
人文,哲學,0335,生死學 Life and Death Studies,2,412,,Y308,楊謦綺,通識中心,60,50,10,中文,
人文,哲學,0336,實用邏輯學 Applied Logics,2,556,,Y208,顧毓民,通識中心,70,24,46,中文,
人文,哲學,0337,哲學概論 Introduction to Philosophy,2,256,,Y308,張盈馨,通識中心,60,69,0,中文,新開設遠距教學
人文,藝術,0342,英國電視喜劇 British TV Comedy,2,478,,A317,廖瑩芝,通識中心,48,28,20,英文,英語授課
人文,藝術,0343,幫派電影與暴力美學 Gangster Films and Aesthetics of Violence,2,556,,A317,廖瑩芝,通識中心,48,44,4,英文,英語授課
人文,藝術,0344,美術工作坊 Art Workshop,2,456,,Y605,蕭怡姍,通識中心,40,48,0,中文,
人文,藝術,0345,美術工作坊 Art Workshop,2,478,,Y605,蕭怡姍,通識中心,40,42,0,中文,
人文,藝術,0346,美術工作坊 Art Workshop,2,534,,Y605,蕭怡姍,通識中心,40,42,0,中文,
人文,藝術,0347,古典音樂賞析 Classical Music Appreciation,2,134,,A317,李美賢,通識中心,70,67,3,中文,新開設遠距教學
人文,藝術,0348,古典音樂賞析 Classical Music Appreciation,2,156,,A317,李美賢,通識中心,70,66,4,中文,新開設遠距教學
人文,藝術,0349,古典音樂賞析 Classical Music Appreciation,2,178,,A317,李美賢,通識中心,70,69,1,中文,新開設遠距教學
人文,藝術,0350,古典音樂賞析 Classical Music Appreciation,2,412,,A317,陳欣宜,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選，新開設遠距教學
人文,藝術,0351,古典音樂賞析 Classical Music Appreciation,2,434,,A317,陳欣宜,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選，新開設遠距教學
人文,藝術,0352,古典音樂賞析 Classical Music Appreciation,2,456,,A317,陳欣宜,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選，新開設遠距教學
人文,藝術,0353,古典音樂賞析 Classical Music Appreciation,2,312,,A317,陳彥蓉,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選，新開設遠距教學
人文,藝術,0354,古典音樂賞析 Classical Music Appreciation,2,334,,A317,陳彥蓉,通識中心,70,69,1,中文,本課程不開放特殊情形權限加選，新開設遠距教學
人文,藝術,0355,古典音樂賞析 Classical Music Appreciation,2,356,,A317,陳彥蓉,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選，新開設遠距教學
人文,藝術,0356,藝術的故事 The Story of Art,2,134,,Y204,劉瑞寬,通識中心,50,48,2,中文,
人文,藝術,0357,書法e動：文字的生命律動 Chinese Calligraphy with E-Pen: the Rhythm of Words,2,*,,*,李超雄,通識中心,30,27,3,中文,線上課程，開課細節另行通知
人文,文化,0360,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,434,,Y206,蕭振聲,通識中心,50,49,1,中文,
人文,文化,0361,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,212,,Y308,張盈馨,通識中心,60,58,2,中文,
人文,文化,0362,江戶文化 Edo Culture,2,156,,Y212,蕭涵珍,通識中心,40,52,0,中文,
人文,文化,0363,多元文化在臺灣 Multicultural in Taiwan,2,378,,Y203,陳建源,通識中心,40,45,0,中文,
人文,文化,0364,日本文化 Japanese Culture,2,312,,Y203,賴郁君,通識中心,50,50,0,中文,
人文,文化,0365,日本文化 Japanese Culture,2,334,,Y202,賴郁君,通識中心,50,50,0,中文,
人文,文化,0366,日本文化 Japanese Culture,2,289,,Y402,徐睿鎂,通識中心,65,66,0,中文,本課程不開放特殊情形權限加選
人文,文化,0367,日本文化 Japanese Culture,2,434,,Y202,沈玉慧,通識中心,50,48,2,中文,
人文,文化,0368,日本文化 Japanese Culture,2,478,,Y202,沈玉慧,通識中心,50,35,15,中文,
人文,文化,0369,日本文化 Japanese Culture,2,434,,Y308,楊謦綺,通識中心,60,17,43,中文,
人文,文化,0370,數位臺灣與文化 Digital Taiwan and Culture,2,434,,Y303,詹閔旭,通識中心,60,56,4,中文,
人文,文化,0371,世界宗教與人生價值 Religions of the World and Values of Life,2,356,,Y208,賴淑蘭,通識中心,50,49,1,中文,
人文,文化,0372,日本漫畫文化論 Japanese Manga Culture Inquiry,2,256,,Y305,陳仲偉,通識中心,70,67,3,中文,本課程不開放特殊情形權限加選
人文,文化,0373,日本漫畫文化論 Japanese Manga Culture Inquiry,2,278,,Y305,陳仲偉,通識中心,70,67,3,中文,本課程不開放特殊情形權限加選
人文,文化,0374,國際禮儀與專業形象 International Etiquette and Professional Image,2,256,,Y605,彭瑞芝,通識中心,50,48,2,中文,本課程不開放特殊情形權限加選
人文,文化,0375,國際禮儀與專業形象 International Etiquette and Professional Image,2,278,,Y605,彭瑞芝,通識中心,50,36,14,英文,英語授課且不開放特殊情形權限加選
人文,文化,0376,"語言、文化與溝通 Language, Culture and Communication",2,156,,CC214,張文俐,通識中心,50,32,18,英文,英語授課
人文,文化,0377,"語言、文化與溝通 Language, Culture and Communication",2,356,,LI412,張文俐,通識中心,50,34,16,英文,英語授課
人文,文化,0378,探索臺中城 Exploring Taichung City,2,134,,Y202,劉泰廷,通識中心,50,49,1,中文,
人文,文化,0379,印度不思議 The Incredible India,2,234,,Y305,游博清,通識中心,50,49,1,中文,
人文,文化,0380,中國士人文化 Chinese Literati Culture,2,256,,Y304,王仁祥,通識中心,60,25,35,中文,
人文,文化,0381,中國士人文化 Chinese Literati Culture,2,378,,Y304,王仁祥,通識中心,60,23,37,中文,
人文,文化,0382,中國士人文化 Chinese Literati Culture,2,412,,Y304,王仁祥,通識中心,60,30,30,中文,
人文,文化,0384,西方眼中的中國 China in Western Minds,2,256,,Y203,劉瑞寬,通識中心,50,45,5,中文,
人文,藝術,0102,美術工作坊 Art Workshop,2,4AB,,Y605,蕭怡姍,夜不限系別,40,37,3,中文,
人文,哲學,0103,生死學 Life and Death Studies,2,4AB,,Y206,楊謦綺,夜不限系別,60,26,34,中文,
人文,文化,0105,歷史·生活與學習 Life and Learning in History,2,1CD,,Y305,宋德喜,夜不限系別,50,56,0,中文,可採計舊制歷史學群
人文,文化,0107,日本文化 Japanese Culture,2,4CD,,Y308,賴郁君,夜不限系別,50,46,4,中文,
人文,哲學,0158,實用邏輯學 Applied Logics,2,3AB,,Y312,顧毓民,夜不限系別,50,21,29,中文,
人文,藝術,0165,視覺藝術欣賞 Visual Art Appreciation,2,1AB,,Y112,王婉如,夜不限系別,60,60,0,中文,
