領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,繪本文學欣賞 Appreciation of Painting and Picture Literature,2,156,,A318,周玟觀,通識中心,40,46,0,中文,
人文,文學,0302,西方電影文學 Western Literature and Film Adaptation,2,278,,Y104,蔡淑惠,通識中心,50,47,3,英文,英語授課
人文,文學,0303,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y202,蔡妙真,通識中心,50,48,2,中文,
人文,文學,0304,英詩導讀 Introduction to Poetry,2,156,,Y112,周幸君,通識中心,60,35,25,中文,
人文,文學,0305,文學探索 Exploring Literature,2,234,,Y301,尤雅姿,通識中心,50,46,4,中文,
人文,文學,0306,文學探索 Exploring Literature,2,156,,Y208,趙家琦,通識中心,50,42,8,中文,
人文,文學,0307,寓言文學欣賞 Readings of Fables Literature,2,278,,Y206,林淑貞,通識中心,50,45,5,中文,
人文,文學,0308,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,234,,Y303,詹閔旭,通識中心,60,59,1,中文,
人文,文學,0309,英詩導讀 Introduction to Poetry,2,234,,Y208,施開揚,通識中心,60,18,42,中文,
人文,文學,0310,英詩導讀 Introduction to Poetry,2,334,,Y208,施開揚,通識中心,60,26,34,中文,
人文,歷史,0314,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y206,黃純怡,通識中心,50,54,0,中文,
人文,歷史,0315,中國歷史與民間傳說 Chinese History and Tales,2,234,,Y206,黃純怡,通識中心,50,53,0,中文,
人文,歷史,0316,中國歷史與民間傳說 Chinese History and Tales,2,256,,Y206,黃純怡,通識中心,50,47,3,中文,
人文,歷史,0317,中國歷史與民間傳說 Chinese History and Tales,2,356,,Y206,黃純怡,通識中心,50,53,0,中文,
人文,歷史,0318,現代世界的形成 The Formation of Modern World,2,412,,Y307,江彥賢,通識中心,60,57,3,中文,
人文,歷史,0319,現代世界的形成 The Formation of Modern World,2,212,,Y409,林志龍,通識中心,60,66,0,中文,
人文,歷史,0320,現代商業史 A History of Modern Business,2,156,,Y409,林志龍,通識中心,60,61,0,中文,
人文,歷史,0321,現代商業史 A History of Modern Business,2,189,,Y409,林志龍,通識中心,60,59,1,中文,
人文,歷史,0322,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,70,68,2,中文,
人文,歷史,0323,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y304,李毓嵐,通識中心,70,67,3,中文,
人文,歷史,0325,歷史與人生 History and Human Life,2,434,,Y401,林益德,通識中心,60,59,1,中文,
人文,歷史,0326,歷史與人生 History and Human Life,2,134,,Y302,范姜士璁,通識中心,60,65,0,中文,
人文,歷史,0327,歷史與人生 History and Human Life,2,356,,Y302,范姜士璁,通識中心,60,63,0,中文,
人文,歷史,0328,歷史與人生 History and Human Life,2,256,,Y207,蔡宗憲,通識中心,60,56,4,中文,
人文,歷史,0329,中國現代史 Contemporary Chinese History,2,178,,Y305,游博清,通識中心,50,50,0,中文,
人文,歷史,0330,中國現代史 Contemporary Chinese History,2,478,,Y305,游博清,通識中心,50,53,0,中文,
人文,歷史,0331,美國族群史 Ethnic American History,2,167,,Y204,陳靜瑜,通識中心,50,48,2,中文,
人文,歷史,0332,西方健康文化史 Western Cultural History of Health,2,178,,Y203,陳樂元,通識中心,50,49,1,中文,
人文,歷史,0333,西方健康文化史 Western Cultural History of Health,2,278,,Y203,陳樂元,通識中心,50,48,2,中文,
人文,哲學,0339,生命教育 Life Education,2,412,,Y308,楊謦綺,通識中心,60,49,11,中文,
人文,哲學,0340,倫理學與當代議題 Ethics and Contemporary Issues,2,312,,Y403,翟挹,通識中心,70,70,0,中文,
人文,哲學,0341,倫理學與當代議題 Ethics and Contemporary Issues,2,512,,Y403,翟挹,通識中心,70,73,0,中文,
人文,哲學,0342,倫理學與當代議題 Ethics and Contemporary Issues,2,256,,Y212,顧毓民,通識中心,60,48,12,中文,
人文,哲學,0343,實用邏輯學 Applied Logics,2,356,,Y212,顧毓民,通識中心,70,57,13,中文,
人文,哲學,0344,實用邏輯學 Applied Logics,2,434,,Y212,顧毓民,通識中心,70,36,34,中文,
人文,哲學,0345,實用邏輯學 Applied Logics,2,534,,Y212,顧毓民,通識中心,70,52,18,中文,
人文,哲學,0346,美學 Aesthetics,2,334,,Y207,張盈馨,通識中心,60,63,0,中文,
人文,哲學,0347,哲學概論 Introduction to Philosophy,2,356,,Y207,張盈馨,通識中心,60,72,0,中文,
人文,哲學,0348,哲學概論 Introduction to Philosophy,2,556,,Y212,顧毓民,通識中心,70,49,21,中文,
人文,藝術,0352,古典音樂賞析 Classical Music Appreciation,2,156,,A317,李美賢,通識中心,70,70,0,中文,
人文,藝術,0353,古典音樂賞析 Classical Music Appreciation,2,178,,A317,李美賢,通識中心,70,70,0,中文,
人文,藝術,0354,古典音樂賞析 Classical Music Appreciation,2,256,,A317,李美賢,通識中心,70,68,2,中文,
人文,藝術,0355,古典音樂賞析 Classical Music Appreciation,2,278,,A317,李美賢,通識中心,70,70,0,中文,
人文,藝術,0356,古典音樂賞析 Classical Music Appreciation,2,412,,A317,陳欣宜,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0357,古典音樂賞析 Classical Music Appreciation,2,434,,A317,陳欣宜,通識中心,70,70,0,中文,本課程不開放特殊情形權限加選
人文,藝術,0358,古典音樂賞析 Classical Music Appreciation,2,456,,A317,陳欣宜,通識中心,70,66,4,中文,本課程不開放特殊情形權限加選
人文,藝術,0359,古典音樂賞析 Classical Music Appreciation,2,478,,A317,陳欣宜,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0360,古典音樂賞析 Classical Music Appreciation,2,112,,A317,陳彥蓉,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0361,古典音樂賞析 Classical Music Appreciation,2,134,,A317,陳彥蓉,通識中心,70,69,1,中文,本課程不開放特殊情形權限加選
人文,藝術,0362,古典音樂賞析 Classical Music Appreciation,2,312,,A317,陳彥蓉,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0363,古典音樂賞析 Classical Music Appreciation,2,334,,A317,陳彥蓉,通識中心,70,68,2,中文,本課程不開放特殊情形權限加選
人文,藝術,0364,英國當代劇場 Contemporary British Theatre,2,134,,Y605,廖瑩芝,通識中心,48,39,9,英文,英語授課
人文,藝術,0365,英國當代劇場 Contemporary British Theatre,2,178,,Y605,廖瑩芝,通識中心,48,39,9,英文,英語授課
人文,藝術,0366,影像與文化評論 Visual Images and Cultural Criticism,2,378,,Y104,蔡淑惠,通識中心,50,46,4,英文,英語授課
人文,藝術,0367,電影美學 Cinematic Aesthetics,2,156,,Y605,廖瑩芝,通識中心,48,34,14,英文,英語授課
人文,文化,0371,世界宗教與人生價值 Religions of the World and Values of Life,2,356,,Y208,賴淑蘭,通識中心,50,51,0,中文,
人文,文化,0372,日本文化 Japanese Culture,2,334,,Y202,沈玉慧,通識中心,50,52,0,中文,
人文,文化,0373,日本文化 Japanese Culture,2,434,,Y202,沈玉慧,通識中心,50,49,1,中文,
人文,文化,0374,日本文化 Japanese Culture,2,289,,Y402,徐睿鎂,通識中心,65,67,0,中文,本課程不開放特殊情形權限加選
人文,文化,0375,日本文化 Japanese Culture,2,434,,Y308,楊謦綺,通識中心,60,52,8,中文,
人文,文化,0376,日本文化 Japanese Culture,2,356,,Y202,賴郁君,通識中心,60,59,1,中文,
人文,文化,0377,影像臺灣 The Image of Taiwan,2,434,,Y203,李育霖,通識中心,50,48,2,中文,
人文,文化,0378,歷史·生活與學習 Life and Learning in History,2,434,,Y204,宋德喜,通識中心,60,59,1,中文,
人文,文化,0379,中國士人文化 Chinese Literati Culture,2,412,,Y304,王仁祥,通識中心,60,55,5,中文,
人文,文化,0380,西方眼中的中國 China in Western Minds,2,256,,Y203,劉瑞寬,通識中心,50,54,0,中文,
人文,文化,0381,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,312,,Y207,張盈馨,通識中心,60,57,3,中文,
人文,文化,0382,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,256,,Y208,陳鍾琇,通識中心,50,45,5,中文,
人文,文化,0383,數位時代下的文化旅遊 Cultural Tourism in the Digital Time,3,4234,,A205,高嘉勵等,通識中心,50,39,11,中文,
人文,文化,0384,日本漫畫文化論 Japanese Manga Culture Inquiry,2,234,,Y112,陳仲翰,通識中心,120,113,7,中文,本課程不開放特殊情形權限加選
人文,文化,0385,日本漫畫文化論 Japanese Manga Culture Inquiry,2,256,,Y112,陳仲翰,通識中心,120,117,3,中文,本課程不開放特殊情形權限加選
人文,文化,0386,實用漢字學 Han Characters,2,478,,Y605,林清源,通識中心,40,35,5,中文,
人文,文化,0387,江戶文化 Edo Culture,2,156,,Y302,蕭涵珍,通識中心,50,59,0,中文,
人文,文化,0388,吃喝文化在東亞 Eating and Drinking Culture in East Asia,2,378,,Y208,陳建源,通識中心,40,50,0,中文,
人文,文化,0389,多元文化在臺灣 Multicultural in Taiwan,2,234,,Y104,吳政憲,通識中心,110,110,0,中文,本課程不開放特殊情形權限加選
人文,文化,0390,多元文化在臺灣 Multicultural in Taiwan,2,312,,Y104,吳政憲,通識中心,110,110,0,中文,本課程不開放特殊情形權限加選
人文,文化,0391,多元文化在臺灣 Multicultural in Taiwan,2,334,,Y104,吳政憲,通識中心,110,109,1,中文,本課程不開放特殊情形權限加選
人文,文化,0392,多元文化在臺灣 Multicultural in Taiwan,2,412,,Y104,吳政憲,通識中心,110,104,6,中文,本課程不開放特殊情形權限加選
人文,文化,0393,"語言、文化與溝通 Language, Culture and Communication",2,256,,LI412,張文俐,通識中心,60,55,5,英文,英語授課
人文,文化,0394,"語言、文化與溝通 Language, Culture and Communication",2,356,,LI412,張文俐,通識中心,60,52,8,英文,英語授課
人文,歷史,0104,看得見的中國史 A Visible History of China,2,4AB,,Y104,游逸飛,夜不限系別,50,18,32,中文,可採計舊制歷史學群
人文,文化,0150,日本文化 Japanese Culture,2,4AB,,Y212,楊謦綺,夜不限系別,60,50,10,中文,
人文,文化,0151,歷史·生活與學習 Life and Learning in History,2,2CD,,Y207,宋德喜,夜不限系別,50,50,0,中文,可採計舊制歷史學群
人文,文化,0153,多元文化在臺灣 Multicultural in Taiwan,2,2AB,,Y212,吳政憲,夜不限系別,75,71,4,中文,
人文,文化,0154,多元文化在臺灣 Multicultural in Taiwan,2,3AB,,Y212,吳政憲,夜不限系別,75,72,3,中文,
人文,哲學,0156,倫理學與當代議題 Ethics and Contemporary Issues,2,3CD,,Y208,翟挹,夜不限系別,50,48,2,中文,
人文,文化,0157,多元文化在臺灣 Multicultural in Taiwan,2,4CD,,Y212,吳政憲,夜不限系別,75,71,4,中文,
人文,藝術,0158,視覺藝術欣賞 Visual Art Appreciation,2,1AB,,Y112,王婉如,夜不限系別,50,47,3,中文,
人文,哲學,0160,實用邏輯學 Applied Logics,2,5AB,,Y409,顧毓民,夜不限系別,50,35,15,中文,
人文,歷史,0162,歷史與人生 History and Human Life,2,4AB,,Y301,蘇全正,夜不限系別,50,48,2,中文,可採計舊制歷史學群
