領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0302,繪本文學欣賞 Appreciation of Painting and Picture Literature,2,234,,Y206,周玟觀,通識中心,40,38,2,中文,
人文,文學,0303,西方電影文學 Western Literature and Film Adaptation,2,278,,Y112,蔡淑惠,通識中心,50,47,3,英文,英語授課
人文,文學,0304,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y202,蔡妙真,通識中心,50,48,2,中文,
人文,文學,0305,旅行文學 Travel Literature,2,156,,Y302,羅秀美,通識中心,40,37,3,中文,
人文,文學,0306,魏晉南北朝志怪小說 The Wei-Jin-Nan-Bei Dynasties Chih-Kuai Fiction,2,234,,Y301,尤雅姿,通識中心,40,42,0,中文,
人文,文學,0307,文學探索 Exploring Literature,2,134,,Y301,尤雅姿,通識中心,40,44,0,中文,
人文,文學,0308,文學探索 Exploring Literature,2,334,,A205,邱貴芬,通識中心,40,13,27,中文,
人文,文學,0309,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y202,林建光,通識中心,50,25,25,中文,
人文,文學,0310,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y201,陳碩文,通識中心,40,35,5,中文,
人文,歷史,0316,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y202,黃純怡,通識中心,50,61,0,中文,
人文,歷史,0317,中國歷史與民間傳說 Chinese History and Tales,2,234,,Y202,黃純怡,通識中心,50,50,0,中文,
人文,歷史,0318,中國歷史與民間傳說 Chinese History and Tales,2,267,,Y202,黃純怡,通識中心,50,53,0,中文,
人文,歷史,0319,中國歷史與民間傳說 Chinese History and Tales,2,367,,Y302,黃純怡,通識中心,50,51,0,中文,
人文,歷史,0320,現代世界的形成 The Formation of Modern World,2,189,,Y409,林志龍,通識中心,75,64,11,中文,
人文,歷史,0321,現代商業史 A History of Modern Business,2,156,,Y409,林志龍,通識中心,75,72,3,中文,
人文,歷史,0322,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,70,68,2,中文,
人文,歷史,0323,臺灣歷史導論 Introduction to History of Taiwan,2,434,,Y304,李毓嵐,通識中心,70,74,0,中文,
人文,歷史,0324,歷史與人生 History and Human Life,2,434,,Y401,林益德,通識中心,60,63,0,中文,
人文,歷史,0325,歷史與人生 History and Human Life,2,556,,Y202,蔡宗憲,通識中心,60,57,3,中文,
人文,歷史,0326,中國現代史 Contemporary Chinese History,2,267,,Y305,游博清,通識中心,60,24,36,中文,
人文,歷史,0327,中國現代史 Contemporary Chinese History,2,334,,Y305,游博清,通識中心,60,0,60,中文,
人文,歷史,0328,美國族群史 Ethnic American History,2,212,,Y204,陳靜瑜,通識中心,50,46,4,中文,
人文,歷史,0329,西方健康文化史 Western Cultural History of Health,2,178,,Y204,陳樂元,通識中心,50,47,3,中文,
人文,歷史,0330,西方健康文化史 Western Cultural History of Health,2,289,,Y204,陳樂元,通識中心,50,46,4,中文,
人文,歷史,0331,近代臺灣日常科技體驗 Everyday Usage and Experiences of Modern Technology in Taiwan: A Historical Perspective,2,434,,Y410,許宏彬,通識中心,50,40,10,中文,
人文,歷史,0332,近代臺灣日常科技體驗 Everyday Usage and Experiences of Modern Technology in Taiwan: A Historical Perspective,2,456,,Y402,許宏彬,通識中心,50,43,7,中文,
人文,哲學,0336,生命教育 Life Education,2,456,,Y208,賴淑蘭,通識中心,60,62,0,中文,
