領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
自然,生命科學,0501,園藝與生活 Horticulture and Living,2,189,,H300,林慧玲等,通識中心,70,75,0,中文,
自然,生命科學,0502,森林生態 Forest Ecology,2,378,,V000,廖天賜等,通識中心,70,73,0,中文,
自然,生命科學,0503,昆蟲世界 Insect World,2,134,,EC7D09,段淑人,通識中心,70,72,0,中文,
自然,生命科學,0504,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,167,,Y410,張天傑,通識中心,50,58,0,中文,
自然,生命科學,0505,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,234,,Y204,趙黛瑜等,通識中心,70,75,0,中文,
自然,生命科學,0506,微生物世界 Microbial World,2,456,,R10B05,曾國欽等,通識中心,100,96,4,中文,
自然,生命科學,0507,動物生物科技與生活 Animal Biotechnology and Life,2,234,,I407,譚發瑞等,通識中心,120,121,0,中文,
自然,生命科學,0508,植物生態與多樣性 Plant Ecology and Biodiversity,2,334,,IA640,趙國容,通識中心,50,33,17,英文,英語授課
自然,生命科學,0509,樹木身體語言與照護 Tree Body Language and Care,2,323,,H105,劉東啟等,通識中心,60,56,4,中文,
自然,生命科學,0510,農業科技與生活 Agricultural Biotechnology and Human Life,2,378,,Y403,林益昇,通識中心,60,73,0,中文,
自然,生命科學,0511,生命科學與人生 Life Science and Human Life,2,456,,Z107,劉英明等,通識中心,75,74,1,中文,
自然,生命科學,0512,生命的動力與延續 The Vitality and Sustainability of Life,2,134,,SC112,楊秋英等,通識中心,130,143,0,中文,
自然,生命科學,0513,生命的動力與延續 The Vitality and Sustainability of Life,2,534,,SC112,楊秋英等,通識中心,130,143,0,中文,
自然,生命科學,0514,生物醫學新知與應用 New Technologies and Applications of Biomedical Sciences,2,456,,Y112,莊秀美等,通識中心,120,132,0,中文,
自然,生命科學,0515,臺灣重要之病毒性傳染病 Important Viral Infectious Diseases in Taiwan,2,456,,Y104,邱賢松,通識中心,100,117,0,中文,
自然,環境科學,0521,永續農學 Sustainable Agriculture,2,156,,IA531,申雍等,通識中心,50,35,15,中文,
自然,環境科學,0522,永續農學 Sustainable Agriculture,2,456,,IA531,申雍等,通識中心,50,14,36,中文,
自然,環境科學,0523,環境與能源 Environment and Energy,3,5678,,P103,盧昭暉,通識中心,50,29,21,中文,本課程建議理工學院學生選修
