選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,SC553,林建良,通識中心,30,28,中文,上課時間：01-09週(農藝系-前25位)
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC553,林建良,通識中心,50,50,中文,上課時間：01-09週(生科系A班)，不開放特殊加簽
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,CC214,林建良,通識中心,30,28,中文,上課時間：01-09週(土環系-前27位)
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,378,01-09週,CC214,林建良,通識中心,30,30,中文,上課時間：01-09週(食生系-前28位)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,01-09週,S821,林建良,通識中心,35,36,中文,上課時間：01-09週(水保系-前33位)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,434,01-09週,S821,林建良,通識中心,50,45,中文,上課時間：01-09週(植病系)，不開放特殊加簽
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,S821,謝育龍,通識中心,30,28,中文,上課時間：01-09週(動科系-前27位)
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,01-09週,S821,謝育龍,通識中心,40,40,中文,上課時間：01-09週(森林系A班)
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,S821,謝育龍,通識中心,35,37,中文,上課時間：01-09週(外文系-前30位)
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,謝育龍,通識中心,40,33,中文,上課時間：01-09週(外文系)
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,SC553,林建良,通識中心,40,24,中文,上課時間：10-18週(農藝系)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC553,林建良,通識中心,50,47,中文,上課時間：10-18週(生科系B班)，不開放特殊加簽
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,CC214,林建良,通識中心,40,32,中文,上課時間：10-18週(土環系)
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,378,10-18週,CC214,林建良,通識中心,40,26,中文,上課時間：10-18週(食生系)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,412,10-18週,S821,林建良,通識中心,40,32,中文,上課時間：10-18週(水保系)
0616,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,434,10-18週,S821,林建良,通識中心,45,43,中文,上課時間：10-18週(會計系)，不開放特殊加簽
0617,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,S821,謝育龍,通識中心,40,26,中文,上課時間：10-18週(動科系)
0618,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,10-18週,S821,謝育龍,通識中心,45,38,中文,上課時間：10-18週(森林系B班)
0619,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,10-18週,S821,謝育龍,通識中心,50,47,中文,上課時間：10-18週(應經系)，不開放特殊加簽
0620,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,S821,謝育龍,通識中心,50,53,中文,上課時間：10-18週(歷史系)，不開放特殊加簽
