領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文化,0301,日本文化 Japanese Culture,2,289,,Y402,徐睿鎂,通識中心,65,60,5,中文,不開放特殊加簽
人文,文化,0302,日本文化 Japanese Culture,2,434,,Y308,楊謦綺,通識中心,60,56,4,中文,
人文,文化,0303,日本文化 Japanese Culture,2,234,,Y208,沈玉慧,通識中心,45,39,6,中文,
人文,文化,0304,環境視覺與思潮運動 Environmental Perceptions and Thoughtful Movement,2,456,,Y212,程進發,通識中心,50,50,0,中文,
人文,文化,0305,環境視覺與思潮運動 Environmental Perceptions and Thoughtful Movement,2,478,,Y212,程進發,通識中心,50,33,17,中文,
人文,文化,0306,文化人類學導論 Introduction to Cultural Anthropology,2,334,,Y305,廖志輝,通識中心,50,41,9,中文,
人文,文化,0307,文化人類學導論 Introduction to Cultural Anthropology,2,356,,Y305,廖志輝,通識中心,50,40,10,中文,
人文,文化,0308,中國傳統思想經典選讀 Reading of Classical Chinese Traditional Thought,2,212,,Y212,張盈馨,通識中心,60,67,0,中文,
人文,文化,0309,江戶文化 Edo Culture,2,334,,Y206,蕭涵珍,通識中心,40,35,5,中文,
人文,文化,0310,吃喝文化在東亞 Eating and Drinking Culture in East Asia,2,334,,Y212,陳建源,通識中心,40,44,0,中文,
人文,文化,0311,印度不思議 The Incredible India,2,389,,Y303,游博清,通識中心,50,50,0,中文,
人文,文化,0313,"語言、文化與溝通 Language, Culture and Communication",2,312,,U701,張文俐,通識中心,45,39,6,英文/EMI,英語授課
人文,文化,0314,臺灣環境與永續生活 Taiwan's Environment and Sustainable Living,2,534,,Y204,蕭戎,通識中心,50,41,9,中文,
人文,文化,0315,臺灣環境與永續生活 Taiwan's Environment and Sustainable Living,2,556,,Y204,蕭戎,通識中心,50,40,10,中文,
人文,文化,0316,印度文化：習俗和傳統 Indian Culture: Customs and Traditions,2,478,,Y403,古山吉(Kumar),通識中心,35,30,5,英文/EMI,英語授課English Conducting; Week1 Online.
人文,文化,0317,影像臺灣 The Image of Taiwan,2,278,,Y303,蔡林縉,通識中心,31,31,0,中文,
人文,文學,0319,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y203,蔡妙真,通識中心,50,50,0,中文,
人文,文學,0320,文學探索 Exploring Literature,2,156,,Y312,蔡林縉,通識中心,31,25,6,中文,
人文,文學,0321,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,42,41,1,中文,
人文,文學,0322,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,434,,Y211,詹閔旭,通識中心,40,37,3,中文,
人文,哲學,0326,生命教育 Life Education,2,434,,Y208,賴淑蘭,通識中心,40,40,0,中文,建議學士班學生修習，無法使用中文的同學請勿選此門課
人文,哲學,0327,生命教育 Life Education,2,278,,Y313,鍾燕宜,通識中心,50,46,4,中文,
人文,哲學,0328,困境與人生 Dilemma and Life,2,334,,Y208,賴淑蘭,通識中心,40,39,1,中文,建議學士班學生修習，無法使用中文的同學請勿選此門課
人文,哲學,0329,困境與人生 Dilemma and Life,2,356,,Y208,賴淑蘭,通識中心,40,41,0,中文,建議學士班學生修習，無法使用中文的同學請勿選此門課
人文,哲學,0330,生死學 Life and Death Studies,2,212,,Y308,楊謦綺,通識中心,60,39,21,中文,
人文,哲學,0331,生死學 Life and Death Studies,2,412,,Y308,楊謦綺,通識中心,60,50,10,中文,
人文,哲學,0332,哲學概論 Introduction to Philosophy,2,434,,Y212,張盈馨,通識中心,60,72,0,中文,非同步遠距教學課程
人文,哲學,0333,中醫哲學 Philosophy of Chinese Medicine,2,489,,Y409,翁碩駿等,通識中心,20,15,5,中文,不開放特殊加簽; 11/24在Y406上課
