選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0901,大一英文 Freshman English,全,3,54 378,Y202 AA302,陳國豪,語言中心,0,12,英文,限歷史.農藝.森林A.森林B.環工.國農企學程.台文創學程選修
0902,大一英文 Freshman English,全,3,53 378,Y309 AA402,李順興,語言中心,0,35,英文,限歷史.農藝.森林A.森林B.環工.國農企學程.台文創學程選修
0903,大一英文 Freshman English,全,3,38 534,Y301 AA202,詹鄢如,語言中心,0,55,英文,限歷史.農藝.森林A.森林B.環工.國農企學程.台文創學程選修
0904,大一英文 Freshman English,全,3,54 378,Y206 AA401,潘千惠,語言中心,0,48,英文,限歷史.農藝.森林A.森林B.環工.國農企學程.台文創學程選修
0905,大一英文 Freshman English,全,3,54 378,Y402 AA203,陳櫻珊,語言中心,0,33,英文,限歷史.農藝.森林A.森林B.環工.國農企學程.台文創學程選修
0906,大一英文 Freshman English,全,3,12 278,Y309 AA203,陳淑卿,語言中心,0,38,英文,限植病.行銷.化學.應數A.應數B.物理選修
0907,大一英文 Freshman English,全,3,12 278,Y207 AA303,陳俐亨,語言中心,0,49,英文,限植病.行銷.化學.應數A.應數B.物理選修
0908,大一英文 Freshman English,全,3,12 278,Y305 AA402,林建光,語言中心,0,45,中文,限植病.行銷.化學.應數A.應數B.物理選修
0909,大一英文 Freshman English,全,3,12 278,Y313 AA301,吳佩如,語言中心,0,45,英文,限植病.行銷.化學.應數A.應數B.物理選修
0910,大一英文 Freshman English,全,3,12 278,Y307 AA401,施以明,語言中心,0,55,英文,限植病.行銷.化學.應數A.應數B.物理選修
0911,大一英文 Freshman English,全,3,53 378,Y403 AA301,劉芳礽,語言中心,0,35,英文,限歷史.農藝.森林A.森林B.環工.國農企學程.台文創學程選修
0912,大一英文 Freshman English,全,3,36 134,Y403 AA303,陳櫻珊,語言中心,0,36,英文,限中文.動科.園藝.化工.水保.財金.電機A.景觀學程選修
0913,大一英文 Freshman English,全,3,22 456,Y409 AA501,楊謦瑜,語言中心,0,26,中文,限企管.應經.生科.材料.生機.會計選修
0914,大一英文 Freshman English,全,3,22 456,Y403 AA201,潘衍至,語言中心,0,26,英文,限企管.應經.生科.材料.生機.會計選修
0915,大一英文 Freshman English,全,3,22 456,Y302 AA303,朱崇儀,語言中心,0,44,英文,限企管.應經.生科.材料.生機.會計選修
0916,大一英文 Freshman English,全,3,22 456,Y301 AA202,莊惠婷,語言中心,0,42,英文,限企管.應經.生科.材料.生機.會計選修
0917,大一英文 Freshman English,全,3,22 456,Y309 AA402,謝心怡,語言中心,0,52,英文,限企管.應經.生科.材料.生機.會計選修
0918,大一英文 Freshman English,全,3,22 456,Y402 AA203,陳櫻珊,語言中心,0,41,英文,限企管.應經.生科.材料.生機.會計選修
0919,大一英文 Freshman English,全,3,45 212,Y403 AA301,劉芳礽,語言中心,0,45,英文,限企管.應經.生科.材料.生機.會計選修
0920,大一英文 Freshman English,全,3,16 334,Y305 AA203,何泰鈞,語言中心,0,24,英文,限機械A.機械B.土木A.土木B.電機B.生技學程.電資學士班選修
0921,大一英文 Freshman English,全,3,34 156,Y309 AA202,吳黌銘,語言中心,0,49,中文,限機械A.機械B.土木A.土木B.電機B.生技學程.電資學士班選修
