選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,S821,林建良,通識中心,60,58,中文,上課時間：01-09週(水保系) ，本課程不開放特殊情形權限加選
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,278,01-09週,S821,林建良,通識中心,60,48,中文,上課時間：01-09週(農藝系)，本課程不開放特殊情形權限加選
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,S821,林建良,通識中心,60,54,中文,上課時間：01-09週(歷史系)，本課程不開放特殊情形權限加選
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,01-09週,U701,林建良,通識中心,40,28,中文,上課時間：01-09週(獸醫系A班)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,434,01-09週,S821,林建良,通識中心,60,44,中文,上課時間：01-09週(會計系) ，本課程不開放特殊情形權限加選
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,01-09週,S821,謝育龍,通識中心,60,37,中文,上課時間：01-09週(森林系-A班)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,S821,謝育龍,通識中心,60,55,中文,上課時間：01-09週(應經系) ，本課程不開放特殊情形權限加選
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC553,陳宏賓,通識中心,50,47,中文,上課時間：01-09週(動科系)，本課程不開放特殊情形權限加選
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,S821,林建良,通識中心,50,35,中文,上課時間：10-18週(景觀學程)，本課程不開放特殊情形權限加選
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,,S821,林建良,通識中心,50,35,中文,上課時間：10-18週(台文學士學程)，本課程不開放特殊情形權限加選
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,278,10-18週,S821,林建良,通識中心,60,43,中文,上課時間：10-18週(園藝系)，本課程不開放特殊情形權限加選
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,S821,林建良,通識中心,60,47,中文,上課時間：10-18週(土環系)，本課程不開放特殊情形權限加選
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,S821,林建良,通識中心,60,39,中文,上課時間：10-18週(獸醫系B班)
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,434,10-18週,S821,林建良,通識中心,60,42,中文,上課時間：10-18週(植病系) ，本課程不開放特殊情形權限加選
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,512,10-18週,S821,謝育龍,通識中心,60,33,中文,上課時間：10-18週(森林系B班)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,,S821,謝育龍,通識中心,60,49,中文,上課時間：01-09週(物理系A+B班) ，本課程不開放特殊情形權限加選
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,謝育龍,通識中心,60,49,中文,上課時間：01-09週(物理系A+B班) ，本課程不開放特殊情形權限加選
0616,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC553,陳宏賓,通識中心,50,47,中文,上課時間：10-18週(生科系A班)，本課程不開放特殊情形權限加選
