領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y203,蔡妙真,通識中心,50,47,3,中文,
人文,文學,0302,西洋兒童文學 Western Children's Literature,2,378,,Y207,劉鳳芯,通識中心,50,42,8,中文,
人文,文學,0303,多元文化與英語文學 Multiculturalism and Literature in English,2,378,,Y403,阮秀莉,通識中心,50,44,6,英文,英語授課
人文,文學,0304,寓言文學欣賞 Readings of Fables Literature,2,278,,Y206,林淑貞,通識中心,50,41,9,中文,
人文,文學,0305,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,42,41,1,中文,
人文,文學,0306,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,178,,Y309,詹閔旭,通識中心,60,62,0,中文,
人文,歷史,0311,中國歷史與民間傳說 Chinese History and Tales,2,234,,Y206,黃純怡,通識中心,50,50,0,中文,
人文,歷史,0312,中國歷史與民間傳說 Chinese History and Tales,2,256,,Y206,黃純怡,通識中心,50,51,0,中文,
人文,歷史,0313,西方健康文化史 Western Cultural History of Health,2,367,,Y302,陳樂元,通識中心,50,45,5,中文,
人文,歷史,0314,西方健康文化史 Western Cultural History of Health,2,389,,Y302,陳樂元,通識中心,50,46,4,中文,
人文,歷史,0315,近百年臺灣發展與變遷 Modern Taiwan History,2,434,,Y309,陳慧先,通識中心,50,52,0,中文,
人文,歷史,0316,近百年臺灣發展與變遷 Modern Taiwan History,2,478,,Y309,陳慧先,通識中心,50,55,0,中文,
人文,歷史,0317,美國族群史 Ethnic American History,2,167,,Y303,陳靜瑜,通識中心,50,49,1,中文,
人文,歷史,0318,現代世界的形成 The Formation of Modern World,2,412,,Y307,江彥賢,通識中心,60,56,4,中文,
人文,歷史,0319,現代世界的形成 The Formation of Modern World,2,434,,Y307,江彥賢,通識中心,60,59,1,中文,
人文,歷史,0320,現代商業史 A History of Modern Business,2,189,,Y313,林志龍,通識中心,60,63,0,中文,
人文,歷史,0321,現代商業史 A History of Modern Business,2,212,,Y313,林志龍,通識中心,60,59,1,中文,
人文,歷史,0322,現代商業史 A History of Modern Business,2,278,,Y313,林志龍,通識中心,60,67,0,中文,
人文,歷史,0323,歷史與人生 History and Human Life,2,356,,Y401,林益德,通識中心,60,70,0,中文,
人文,歷史,0324,歷史與人生 History and Human Life,2,256,,Y302,蔡宗憲,通識中心,60,60,0,中文,
人文,歷史,0325,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,50,48,2,中文,
人文,歷史,0326,中國現代史 Contemporary Chinese History,2,178,,Y308,游博清,通識中心,50,49,1,中文,
人文,歷史,0327,看得見的中國史 A Visible History of China,2,434,,Y304,游逸飛,通識中心,50,33,17,中文,
人文,歷史,0328,電影中的西洋古典史 Classical History in Films,2,134,,Y112,范姜士璁,通識中心,100,95,5,中文,
人文,歷史,0329,電影中的西洋古典史 Classical History in Films,2,356,,Y104,范姜士璁,通識中心,100,93,7,中文,
