選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,授課 語言,備註
0601,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,01-09週,L216,林建良,通識中心,50,50,中文,上課時間：01-09週(農藝系)
0602,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,01-09週,SC549,林建良,通識中心,30,27,中文,上課時間：01-09週(材料系-前26位)
0603,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,01-09週,LI412,林建良,通識中心,50,46,中文,上課時間：01-09週(森林系A班)
0604,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,01-09週,LI412,林建良,通識中心,60,51,中文,上課時間：01-09週(昆蟲系)
0605,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,01-09週,SC553,林建良,通識中心,30,31,中文,上課時間：01-09週(企管系-前26名)
0606,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,456,01-09週,L216,林建良,通識中心,30,30,中文,上課時間：01-09週(食生系-前25位)
0607,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,378,01-09週,L216,謝育龍,通識中心,45,28,中文,上課時間：01-09週(生技學程)
0608,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,01-09週,S821,謝育龍,通識中心,30,28,中文,上課時間：01-09週(外文系-前25名)
0609,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,01-09週,S821,謝育龍,通識中心,40,41,中文,上課時間：01-09週(外文系)
0610,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,256,10-18週,L216,林建良,通識中心,50,49,中文,上課時間：10-18週(環工系)
0611,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,289,10-18週,SC549,林建良,通識中心,35,26,中文,上課時間：10-18週(材料系)
0612,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,312,10-18週,LI412,林建良,通識中心,50,34,中文,上課時間：10-18週(森林系B班)
0613,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,334,10-18週,LI412,林建良,通識中心,60,54,中文,上課時間：10-18週(歷史系)
0614,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,356,10-18週,SC553,林建良,通識中心,35,36,中文,上課時間：10-18週(企管系)
0615,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,456,10-18週,L216,林建良,通識中心,35,34,中文,上課時間：10-18週(食生系)
0616,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,534,10-18週,S821,謝育龍,通識中心,45,34,中文,上課時間：10-18週(法律系)
0617,資訊素養：程式設計與應用 Information Literacy: Computer Programming and Its Applications,1,556,10-18週,S821,謝育龍,通識中心,60,60,中文,上課時間：10-18週(化學系)
