領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,繪本文學欣賞 Appreciation of Painting and Picture Literature,2,278,,Y203,林淑貞,通識中心,50,26,24,中文,
人文,文學,0302,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y203,蔡妙真,通識中心,50,45,5,中文,
人文,文學,0303,文學探索 Exploring Literature,2,478,,*,蔡林縉,通識中心,31,0,31,中文,"(未成班,停開)"
人文,文學,0304,華語影視文學 Film and Visual Literature of Chinese Language,2,334,,Y313,趙家琦,通識中心,42,40,2,中文,
人文,文學,0305,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,434,,Y211,詹閔旭,通識中心,40,43,0,中文,
人文,文學,0306,西方電影文學 Western Literature and Film Adaptation,2,356,,Y211,廖卓豪,通識中心,31,27,4,中/英文,"使用全英文課綱、教材與評量方式Syllabus, teaching materials and assessment methods are all in english"
人文,歷史,0310,近百年臺灣發展與變遷 Modern Taiwan History,2,534,,Y202,陳慧先,通識中心,50,51,0,中文,
人文,歷史,0311,近百年臺灣發展與變遷 Modern Taiwan History,2,556,,Y202,陳慧先,通識中心,50,51,0,中文,
人文,歷史,0312,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y207,黃純怡,通識中心,50,49,1,中文,
人文,歷史,0313,中國歷史與民間傳說 Chinese History and Tales,2,356,,Y207,黃純怡,通識中心,50,56,0,中文,
人文,歷史,0314,現代世界的形成 The Formation of Modern World,2,412,,Y307,江彥賢,通識中心,60,42,18,中文,
人文,歷史,0315,現代世界的形成 The Formation of Modern World,2,434,,Y307,江彥賢,通識中心,60,50,10,中文,
人文,歷史,0316,現代商業史 A History of Modern Business,2,267,,Y409,林志龍,通識中心,60,54,6,中文,
人文,歷史,0317,臺灣歷史導論 Introduction to History of Taiwan,2,356,,Y307,李毓嵐,通識中心,50,48,2,中文,
人文,歷史,0318,臺灣歷史導論 Introduction to History of Taiwan,2,312,,Y305,賴郁君,通識中心,50,47,3,中文,
人文,歷史,0319,電影中的西洋古典史 Classical History in Films,2,234,,Y112,范姜士璁,通識中心,100,86,14,中文,
人文,歷史,0320,電影中的西洋古典史 Classical History in Films,2,178,,Y104,范姜士璁,通識中心,100,46,54,中文,
人文,歷史,0321,影視中的日本史 History of Japan in Films,2,434,,Y207,沈玉慧,通識中心,45,36,9,中文,
人文,歷史,0322,中國現代史 Contemporary Chinese History,2,256,,Y308,游博清,通識中心,50,51,0,中文,
人文,歷史,0323,美國族群史 Ethnic American History,2,167,,Y301,陳靜瑜,通識中心,50,18,32,中文,
人文,歷史,0324,西方健康文化史 Western Cultural History of Health,2,189,,*,陳樂元,通識中心,50,0,50,中文,"(未成班,停開)"
人文,歷史,0325,現代世界的形成 The Formation of Modern World,2,278,,Y212,許朝祺,通識中心,50,24,26,中文,
人文,歷史,0326,現代商業史 A History of Modern Business,2,289,,Y409,林志龍,通識中心,60,58,2,中文,
人文,哲學,0329,生命教育 Life Education,2,278,,*,鍾燕宜,通識中心,60,0,60,中文,"(未成班,停開)"
人文,哲學,0330,生命教育 Life Education,2,478,,*,程進發,通識中心,50,0,50,中文,"(未成班,停開)"
人文,哲學,0331,中醫哲學 Philosophy of Chinese Medicine,2,489,,Y403,翁碩駿等,通識中心,50,20,30,中文,
人文,哲學,0332,困境與人生 Dilemma and Life,2,434,,Y208,賴淑蘭,通識中心,40,37,3,中文,建議學士班學生修習
人文,哲學,0333,生死學 Life and Death Studies,2,212,,Y308,楊謦綺,通識中心,60,19,41,中文,
