領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
自然,工程科技,0502,生命科學與工程概論 Introduction of Bioengineering in Life Science,2,556,,CEB99,薛敬和等,通識中心,100,36,64,中文,
自然,工程科技,0503,生活中的工程 Engineering in Everyday Life,2,156,,L216,王東安,通識中心,50,27,23,英文/EMI,English Conducting
自然,工程科技,0504,精密工程科學概論 Overview Science of Precision Engineering,2,212,,Y409,楊錫杭等,通識中心,40,13,27,中文,
自然,工程科技,0505,生醫工程概論 Introduction to Biomedical Engineering,3,4567,,Y301,王惠民,通識中心,60,21,39,中文,
自然,工程科技,0506,生醫工程概論 Introduction to Biomedical Engineering,3,2567,,ATB13,廖國智等,通識中心,60,29,31,中文,
自然,工程科技,0507,生醫工程概論 Introduction to Biomedical Engineering,3,1567,,ATB13,賴千蕙,通識中心,60,29,31,中文,
自然,生命科學,0510,健康與人生 Health and Life,2,378,,Y403,古山吉(Kumar),通識中心,35,33,2,英文/EMI,English Conducting
自然,生命科學,0511,健康與人生 Health and Life,2,378,,Y312,高峻凱等,通識中心,20,21,0,中文,不開放特殊加簽
自然,生命科學,0512,昆蟲世界 Insect World,2,134,,EC7C03,段淑人,通識中心,50,25,25,中文,
自然,生命科學,0513,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,256,,Y211,莊雅雯,通識中心,20,19,1,中文,不開放特殊加簽
自然,生命科學,0514,漫談預防醫學 A Brief Introduction to Preventive Medicine,2,289,,Y312,傅令嫻等,通識中心,20,18,2,中文,同步遠距教學，不開放特殊加簽
自然,生命科學,0515,微生物世界 Microbial World,2,456,,J1007,鍾文鑫等,通識中心,100,103,0,中文,
自然,生命科學,0516,生物電影 Bio-Movie,2,256,,AN514,謝淳仁,通識中心,31,30,1,中文,
自然,生命科學,0517,生物電影 Bio-Movie,2,434,,Y211,王秉彥等,通識中心,20,17,3,中文,不開放特殊加簽
