選課號碼(註1),科目名稱,全/半年,學分,上課 時間,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
1701,大學國文 College Chinese,全,2,112,Y304,趙家琦,通識中心,40,39,1,中文,"含彈性教學,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修"
1702,大學國文 College Chinese,全,2,112,Y207,吳東晟,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1703,大學國文 College Chinese,全,2,112,Y308,林宏達,通識中心,40,41,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1704,大學國文 College Chinese,全,2,112,Y301,石美玲,通識中心,40,40,0,中文,"限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修,含彈性教學"
1705,大學國文 College Chinese,全,2,112,Y303,康凱淋,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1706,大學國文 College Chinese,全,2,112,Y204,王正良,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1707,大學國文 College Chinese,全,2,112,Y202,高榮鴻,通識中心,40,41,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1708,大學國文 College Chinese,全,2,112,Y302,余佳韻,通識中心,40,39,1,中文,含彈性教學;限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1710,大學國文 College Chinese,全,2,112,Y206,蕭振聲,通識中心,40,41,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1711,大學國文 College Chinese,全,2,112,Y208,張錦瑤,通識中心,40,41,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
1712,大學國文 College Chinese,全,2,112,Y212,楊淑瓊,通識中心,40,40,0,中文,限企管、生科AB、土木AB、機械AB、環工、材料、智慧創意學程選修
