領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
人文,文學,0301,大眾小說在臺灣 Popular Fiction in Taiwan,2,356,,A421,陳國偉,通識中心,60,53,7,中文,
人文,文學,0302,大眾小說在臺灣 Popular Fiction in Taiwan,2,389,,A421,陳國偉,通識中心,60,47,13,中文,
人文,文學,0303,繪本文學欣賞 Appreciation of Painting and Picture Literature,2,278,,Y201,林淑貞,通識中心,50,46,4,中文,
人文,文學,0304,西方電影文學 Western Literature and Film Adaptation,2,278,,Y104,蔡淑惠,通識中心,50,35,15,英文,英語授課
人文,文學,0305,中國古典短篇小說選讀 Selected Reading of Classical Chinese Fictions,2,312,,Y202,蔡妙真,通識中心,50,40,10,中文,
人文,文學,0306,魏晉南北朝志怪小說 The Wei-Jin-Nan-Bei Dynasties Chih-Kuai Fiction,2,234,,Y301,尤雅姿,通識中心,40,43,0,中文,
人文,文學,0307,西洋文學概論 Introduction to Western Literature,2,178,,Y212,宋維科,通識中心,50,46,4,中文,
人文,文學,0308,臺灣現當代作家與作品 Taiwanese Writers and Literary Creation,2,134,,Y303,詹閔旭,通識中心,60,63,0,中文,
人文,文學,0310,繪本文學欣賞 Appreciation of Painting and Picture Literature,2,156,,Y202,周玟觀,通識中心,40,42,0,中文,
人文,文學,0311,文學探索 Exploring Literature,2,156,,Y208,趙家琦,通識中心,50,47,3,中文,
人文,歷史,0313,中國歷史與民間傳說 Chinese History and Tales,2,156,,Y206,黃純怡,通識中心,50,51,0,中文,
人文,歷史,0314,中國歷史與民間傳說 Chinese History and Tales,2,234,,Y206,黃純怡,通識中心,50,54,0,中文,
人文,歷史,0315,中國歷史與民間傳說 Chinese History and Tales,2,356,,Y206,黃純怡,通識中心,50,52,0,中文,
人文,歷史,0316,現代世界的形成 The Formation of Modern World,2,189,,Y409,林志龍,通識中心,75,69,6,中文,
人文,歷史,0317,現代世界的形成 The Formation of Modern World,2,234,,A311-1,林志龍,通識中心,75,76,0,中文,
人文,歷史,0318,現代商業史 A History of Modern Business,2,167,,Y409,林志龍,通識中心,75,72,3,中文,
人文,歷史,0319,現代商業史 A History of Modern Business,2,289,,Y409,林志龍,通識中心,75,67,8,中文,
人文,歷史,0320,臺灣歷史導論 Introduction to History of Taiwan,2,334,,Y304,李毓嵐,通識中心,70,65,5,中文,
人文,歷史,0321,看得見的中國史 A Visible History of China,2,434,,A607,游逸飛,通識中心,50,43,7,中文,
人文,歷史,0322,歷史與人生 History and Human Life,2,434,,Y401,林益德,通識中心,60,75,0,中文,
人文,歷史,0323,中國現代史 Contemporary Chinese History,2,178,,Y305,游博清,通識中心,50,46,4,中文,
人文,歷史,0324,西方健康文化史 Western Cultural History of Health,2,189,,Y204,陳樂元,通識中心,50,45,5,中文,
人文,歷史,0325,西方健康文化史 Western Cultural History of Health,2,267,,Y204,陳樂元,通識中心,50,40,10,中文,
人文,歷史,0326,歷史與人生 History and Human Life,2,334,,Y302,范姜士璁,通識中心,60,52,8,中文,
人文,歷史,0327,西方健康文化史 Western Cultural History of Health,2,356,,Y302,范姜士璁,通識中心,60,52,8,中文,
