領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
社會,公民與社會,0401,服務學習：中小學課業輔導 Service Learning: Primary and Junior High School Tutoring,2,278,,Y312,楊琇玲,通識中心,31,32,0,中文,本學期第5~17週需使用課堂時間至信義國小服務
社會,公民與社會,0402,資訊科技與社會 Information Technology and Society,2,356,,Y409,洪朝貴,通識中心,60,63,0,中文,
社會,公民與社會,0403,政治社會哲學 Political-Social Philosophy,2,334,,Y212,顧毓民,通識中心,70,15,55,中文,
社會,公民與社會,0404,政治社會哲學 Political-Social Philosophy,2,556,,Y212,顧毓民,通識中心,70,36,34,中文,
社會,公民與社會,0405,社會學 Sociology,3,3234,,Y307,陳迪暉,通識中心,70,71,0,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0406,性別·社會·個人 Gender-Society-Individual,2,234,,Y401,關永馨,通識中心,70,64,6,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0407,食物與政治 Food and Politics,2,278,,SC111,譚偉恩,通識中心,130,140,0,中文,
社會,公民與社會,0408,全球化與當代社會 Globalization and Contemporary Society,2,534,,Y307,陳迪暉,通識中心,70,69,1,中文,本課程不開放特殊情形權限加選
社會,公民與社會,0409,動物福祉 Animal Welfare,2,556,,QB101,林荀龍等,通識中心,31,33,0,中文,須於週五下午1點~5點至動物收容中心服務，建議下午未排課的非獸醫系同學選修
社會,公民與社會,0410,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,134,,Y211,張淑君,通識中心,35,31,4,中文,
社會,公民與社會,0411,社區營造與創意方案規劃 Community Empowerment and Creativity Program Planning,2,156,,Y211,張淑君,通識中心,35,32,3,中文,
社會,法律與政治,0415,法律與生活 Law and Everyday Life,2,312,,SC112,林炫秋,通識中心,150,134,16,中文,
社會,法律與政治,0416,國際關係 International Relations,2,356,,SC111,沈玄池,通識中心,120,123,0,中文,
社會,法律與政治,0417,國際關係 International Relations,2,367,,SC202,袁鶴齡,通識中心,70,53,17,中文,
