領域,學群,選課號碼(註1),科目名稱,學分,上課 時間,上課 週別,上課 教室,授課 教師,開課 單位,開課 人數,選課 人數,可選 餘額,授課 語言,備註
自然,生命科學,0501,園藝與生活 Horticulture and Living,2,189,,H300,林慧玲等,通識中心,70,67,3,中文,
自然,生命科學,0502,健康與人生 Health and Life,2,178,,Y202,黃秀琳,通識中心,35,32,3,中文,本課程不開放特殊情形權限加選
自然,生命科學,0503,微生物世界 Microbial World,2,456,,J1007,鍾文鑫等,通識中心,100,108,0,中文,
自然,生命科學,0504,食品安全衛生 Food Safety and Sanitation,2,134,,FB110,陳錦樹等,通識中心,100,94,6,中文,
自然,生命科學,0505,植物生態與多樣性 Plant Ecology and Biodiversity,2,434,,IA514,趙國容,通識中心,50,28,22,英文,英語授課
自然,生命科學,0506,生態旅遊 Ecotourism,2,334,,AN514,謝淳仁,通識中心,35,37,0,中文,本課程需配合校外教學，請同學考量課程時間
自然,生命科學,0507,生態旅遊 Ecotourism,2,356,,AN514,謝淳仁,通識中心,35,39,0,中文,本課程需配合校外教學，請同學考量課程時間
自然,生命科學,0508,常見疾病預防與保健 Common Disease and Health Promotion in Taiwan,2,478,,Y112,莊秀美等,通識中心,120,119,1,中文,
自然,生命科學,0509,生命科學與人生 Life Science and Human Life,2,456,,Z000,劉英明等,通識中心,100,119,0,中文,本課程不開放特殊情形權限加選
自然,生命科學,0510,生命的動力與延續 The Vitality and Sustainability of Life,2,134,,SC111,陳良築等,通識中心,150,148,2,中文,本課程不開放特殊情形權限加選
自然,生命科學,0511,生命的動力與延續 The Vitality and Sustainability of Life,2,534,,Y112,陳良築等,通識中心,120,118,2,中文,本課程不開放特殊情形權限加選
自然,生命科學,0512,生物醫學新知與應用 New Technologies and Applications of Biomedical Sciences,2,256,,Y308,王惠民,通識中心,60,60,0,中文,
自然,生命科學,0513,臺灣重要之病毒性傳染病 Important Viral Infectious Diseases in Taiwan,2,434,,Y104,邱賢松,通識中心,100,117,0,中文,
自然,環境科學,0517,校園自然環境導覽 Guided Tour on Campus Environment,2,267,,Z117,劉思謙,通識中心,20,23,0,中文,
自然,環境科學,0518,世界糧食問題 World Food Problems,2,534,,IA531,高木知芙美,通識中心,50,36,14,英文,英語授課
自然,環境科學,0519,環境生態變遷與永續發展 Change and Sustainable Development in Environment and Ecology,2,478,,Y402,王鴻勳,通識中心,50,43,7,中文,
自然,環境科學,0520,生態學 Ecology,2,189,,Y204,于迺文,通識中心,65,64,1,中文,
自然,環境科學,0521,生態學 Ecology,2,534,,EC7D09,段淑人,通識中心,85,76,9,中文,
自然,環境科學,0522,防災概論 Introduction to Disaster Mitigation,2,578,,Y402,王鴻勳,通識中心,50,39,11,中文,
